have, 251, 30
young, 181, 0
think, 156, 0
many, 146, 0
do, 138, 0
be, 85, 0
make, 60, 2
s, 59, 0
agree, 59, 0
same, 48, 1
help, 47, 1
enjoy, 47, 0
believe, 46, 0
own, 41, 1
know, 40, 0
other, 39, 0
want, 38, 0
understand, 35, 0
enough, 34, 0
get, 34, 6
good, 33, 0
take, 33, 6
learn, 33, 0
disagree, 33, 0
say, 32, 0
travel, 30, 0
go, 30, 5
need, 30, 0
try, 29, 0
few, 25, 0
much, 25, 0
use, 24, 0
tour, 24, 0
see, 23, 4
first, 23, 2
give, 19, 19
feel, 18, 2
prefer, 18, 0
nt, 17, 0
live, 17, 0
like, 16, 0
work, 16, 1
successful, 16, 0
different, 15, 0
find, 14, 0
several, 14, 0
tend, 13, 0
become, 13, 0
little, 12, 0
big, 12, 1
i, 12, 0
specialized, 12, 0
such, 11, 0
seem, 10, 0
m, 10, 0
change, 10, 0
look, 10, 2
risky, 10, 0
new, 9, 0
talk, 9, 0
various, 9, 0
Many, 9, 0
come, 9, 0
mean, 9, 0
remember, 8, 0
read, 8, 0
visit, 8, 0
start, 8, 0
twenty, 8, 0
foreign, 8, 0
second, 8, 1
study, 7, 0
last, 7, 0
local, 7, 0
general, 7, 0
show, 7, 0
explain, 7, 0
specific, 7, 0
diffrent, 7, 0
small, 6, 1
spend, 6, 14
speak, 6, 0
specialize, 6, 0
consider, 6, 0
sum, 6, 0
improve, 6, 0
real, 6, 0
old, 6, 0
next, 6, 0
dont, 6, 0
important, 6, 0
organize, 6, 0
plan, 6, 0
decide, 5, 0
Traveling, 5, 0
great, 5, 1
advertisement, 5, 0
choose, 5, 0
ve, 5, 0
stay, 5, 0
increase, 5, 0
buy, 5, 1
tell, 5, 0
cosmetic, 5, 0
keep, 5, 4
re, 5, 0
ask, 5, 0
meet, 5, 1
global, 5, 0
avoid, 5, 1
move, 5, 1
subject, 4, 0
typical, 4, 0
experience, 4, 0
Doing, 4, 0
cultural, 4, 0
realize, 4, 0
everyday, 4, 0
long, 4, 0
solve, 4, 0
right, 4, 0
care, 4, 0
succeed, 4, 0
Successful, 4, 0
cause, 4, 0
continue, 4, 0
call, 4, 0
provide, 4, 2
saw, 4, 0
belive, 4, 0
t, 4, 0
graphic, 4, 0
bad, 4, 0
brave, 4, 0
suggest, 4, 0
professional, 4, 0
let, 4, 0
guided, 4, 0
chinese, 4, 0
social, 3, 0
human, 3, 0
main, 3, 0
short, 3, 0
teach, 3, 1
past, 3, 0
communicate, 3, 0
memorize, 3, 0
play, 3, 0
pay, 3, 0
normal, 3, 0
yong, 3, 0
Having, 3, 0
love, 3, 0
exist, 3, 0
Is, 3, 0
happen, 3, 0
support, 3, 7
Travelling, 3, 0
enjoyable, 3, 0
only, 3, 0
understanding, 3, 0
simple, 3, 0
tecnological, 3, 0
needy, 3, 0
inter, 3, 0
high, 3, 0
stop, 3, 1
toshiba, 3, 0
foregin, 3, 0
produce, 3, 1
non-profit, 3, 0
discuss, 3, 0
individual, 3, 0
theorical, 3, 0
fun, 3, 0
certain, 3, 0
join, 2, 0
Other, 2, 0
succesfull, 2, 0
ecological, 2, 0
eat, 2, 0
react, 2, 0
large, 2, 0
usefull, 2, 0
argue, 2, 0
wake, 2, 0
sophisticated, 2, 0
hire, 2, 0
Specializing, 2, 0
socialize, 2, 0
adays, 2, 0
beilive, 2, 0
encourage, 2, 0
throught, 2, 0
advertise, 2, 0
special, 2, 0
earn, 2, 0
twentieth, 2, 0
stress, 2, 0
benificial, 2, 0
create, 2, 0
allow, 2, 0
promote, 2, 0
felt, 2, 0
fail, 2, 0
histrical, 2, 0
knowledge, 2, 0
walk, 2, 0
Japanese, 2, 0
guess, 2, 0
lerning, 2, 0
personal, 2, 0
generalistic, 2, 0
expert, 2, 0
prevent, 2, 0
accomplish, 2, 0
answer, 2, 0
12-hour, 2, 0
save, 2, 2
necessary, 2, 0
unnatural, 2, 0
wach, 2, 0
deny, 2, 0
huge, 2, 0
basical, 2, 0
sell, 2, 0
full, 2, 1
fifty, 2, 0
selfish, 2, 0
total, 2, 0
accept, 2, 0
leding, 2, 0
convincing, 2, 0
expensive, 2, 0
dislike, 2, 0
Second, 2, 0
beleive, 2, 0
Last, 2, 0
particular, 2, 0
form, 2, 0
advanced, 2, 1
noisy, 2, 0
public, 2, 0
whole, 2, 0
conclude, 2, 0
italian, 2, 0
Enjoying, 2, 0
innovative, 2, 0
economical, 2, 0
convenced, 2, 0
summarize, 2, 0
claim, 2, 0
relative, 2, 0
basic, 2, 0
fist, 2, 0
further, 2, 0
introduce, 2, 0
nessessary, 2, 0
point, 2, 0
external, 2, 0
respect, 2, 1
evry, 2, 0
final, 2, 0
experienced, 2, 0
working, 2, 0
Young, 2, 0
responsible, 2, 0
nice, 2, 0
alot, 2, 0
requieres, 2, 0
catholic, 2, 0
self, 2, 0
drastic, 1, 0
illeterate, 1, 0
eminent, 1, 0
prefare, 1, 0
amny, 1, 0
studied, 1, 0
generic, 1, 0
complete, 1, 0
summary, 1, 0
happeded, 1, 0
major, 1, 0
rainy, 1, 0
Educational, 1, 0
known, 1, 0
museums, 1, 0
begin, 1, 0
Speacializing, 1, 0
speacialize, 1, 0
primay, 1, 0
Take, 1, 0
speacilize, 1, 0
speacilizing, 1, 0
Travering, 1, 0
rent, 1, 0
reserve, 1, 0
grade, 1, 0
fullfill, 1, 0
insist, 1, 0
initelligent, 1, 0
intelligent, 1, 0
Intelligent, 1, 0
n, 1, 0
withot, 1, 0
educational, 1, 0
abig, 1, 0
opserve, 1, 0
Undrestanding, 1, 0
ceariative, 1, 0
everyting, 1, 0
cefeman, 1, 0
brrelliant, 1, 0
standared, 1, 0
Analyzing, 1, 0
gerenal, 1, 0
clever, 1, 0
invent, 1, 0
complicatied, 1, 0
original, 1, 0
recommend, 1, 0
behavior, 1, 0
complecated, 1, 0
ignore, 1, 0
frozen, 1, 0
vegetable, 1, 0
profitable, 1, 0
testing, 1, 0
private, 1, 0
haviing, 1, 0
disageed, 1, 0
financial, 1, 0
exaggerate, 1, 0
blame, 1, 0
lose, 1, 4
sometimes, 1, 0
drink, 1, 0
Thai, 1, 0
trafic, 1, 0
privaite, 1, 0
affordable, 1, 0
alike, 1, 0
enforce, 1, 0
proactive, 1, 0
previous, 1, 0
unsatisfied, 1, 0
Such, 1, 0
remoivng, 1, 0
successfull, 1, 0
ather, 1, 0
nobel, 1, 0
Concluding, 1, 0
act, 1, 0
succeeed, 1, 0
supecial, 1, 0
sick, 1, 0
wiil, 1, 0
hate, 1, 0
d, 1, 0
