token,tp_cases,tn_cases,fp_cases,fn_cases,total_cases,precision,recall,f1-score
Two,0,2,0,0,2,#Div0,#Div0,#Div0
worker,0,6,0,0,6,#Div0,#Div0,#Div0
cheaper,0,6,0,0,6,#Div0,#Div0,#Div0
share,0,6,0,2,8,#Div0,0.0,#Div0
pack,0,1,0,0,1,#Div0,#Div0,#Div0
inable,0,1,0,0,1,#Div0,#Div0,#Div0
lazy,0,4,0,0,4,#Div0,#Div0,#Div0
forgotten,0,1,0,0,1,#Div0,#Div0,#Div0
filling,0,0,0,1,1,#Div0,0.0,#Div0
King,0,2,0,0,2,#Div0,#Div0,#Div0
direvered,0,0,0,1,1,#Div0,0.0,#Div0
Hence,0,5,0,0,5,#Div0,#Div0,#Div0
reduced,0,3,0,0,3,#Div0,#Div0,#Div0
ruled,0,1,0,0,1,#Div0,#Div0,#Div0
conception,0,0,0,1,1,#Div0,0.0,#Div0
priciples,0,1,0,0,1,#Div0,#Div0,#Div0
time-consuming,0,0,0,1,1,#Div0,0.0,#Div0
where,0,75,0,0,75,#Div0,#Div0,#Div0
benefits,0,5,0,0,5,#Div0,#Div0,#Div0
confusion,0,2,0,0,2,#Div0,#Div0,#Div0
activites,0,1,0,0,1,#Div0,#Div0,#Div0
company,0,41,0,0,41,#Div0,#Div0,#Div0
exciting,0,3,0,0,3,#Div0,#Div0,#Div0
daughter,0,2,0,0,2,#Div0,#Div0,#Div0
carefull,0,1,0,0,1,#Div0,#Div0,#Div0
discos,0,1,0,0,1,#Div0,#Div0,#Div0
reached,0,0,0,7,7,#Div0,0.0,#Div0
tranport,0,2,0,0,2,#Div0,#Div0,#Div0
opinionists,0,1,0,0,1,#Div0,#Div0,#Div0
surface,0,1,0,1,2,#Div0,0.0,#Div0
scratch,0,0,0,1,1,#Div0,0.0,#Div0
students,0,90,0,0,90,#Div0,#Div0,#Div0
16,0,1,0,0,1,#Div0,#Div0,#Div0
eras,0,1,0,0,1,#Div0,#Div0,#Div0
stereotypes,0,3,0,0,3,#Div0,#Div0,#Div0
candidates,0,2,0,0,2,#Div0,#Div0,#Div0
minds,0,6,0,0,6,#Div0,#Div0,#Div0
respects,0,1,0,0,1,#Div0,#Div0,#Div0
gulf,0,1,0,0,1,#Div0,#Div0,#Div0
machinne,0,1,0,0,1,#Div0,#Div0,#Div0
equally,0,5,0,0,5,#Div0,#Div0,#Div0
activies,0,1,0,0,1,#Div0,#Div0,#Div0
argument,0,1,0,0,1,#Div0,#Div0,#Div0
brief,0,1,0,0,1,#Div0,#Div0,#Div0
so,0,167,0,0,167,#Div0,#Div0,#Div0
Just,0,2,0,0,2,#Div0,#Div0,#Div0
drops,0,1,0,0,1,#Div0,#Div0,#Div0
dealing,0,1,0,0,1,#Div0,#Div0,#Div0
incresing,0,2,0,0,2,#Div0,#Div0,#Div0
twentieth,0,3,0,0,3,#Div0,#Div0,#Div0
Academic,0,1,0,0,1,#Div0,#Div0,#Div0
ones,0,18,0,0,18,#Div0,#Div0,#Div0
travils,0,1,0,0,1,#Div0,#Div0,#Div0
discover,0,2,0,5,7,#Div0,0.0,#Div0
shops,0,1,0,0,1,#Div0,#Div0,#Div0
demands,0,2,0,1,3,#Div0,0.0,#Div0
bicycles,0,1,0,0,1,#Div0,#Div0,#Div0
toothpaste,0,2,0,0,2,#Div0,#Div0,#Div0
back,0,7,0,3,10,#Div0,0.0,#Div0
exceptions,0,3,0,0,3,#Div0,#Div0,#Div0
sentence,0,1,0,0,1,#Div0,#Div0,#Div0
inevitably,0,1,0,0,1,#Div0,#Div0,#Div0
courage,0,6,0,1,7,#Div0,0.0,#Div0
survive,0,2,0,2,4,#Div0,0.0,#Div0
Adults,0,3,0,0,3,#Div0,#Div0,#Div0
forbbiden,0,1,0,0,1,#Div0,#Div0,#Div0
caused,0,3,0,0,3,#Div0,#Div0,#Div0
owns,0,1,0,0,1,#Div0,#Div0,#Div0
fullfilling,0,1,0,1,2,#Div0,0.0,#Div0
basis,0,1,0,3,4,#Div0,0.0,#Div0
pull,0,0,0,1,1,#Div0,0.0,#Div0
consums,0,1,0,0,1,#Div0,#Div0,#Div0
struck,0,0,0,1,1,#Div0,0.0,#Div0
abviouly,0,1,0,0,1,#Div0,#Div0,#Div0
production,0,2,0,0,2,#Div0,#Div0,#Div0
hep,0,1,0,0,1,#Div0,#Div0,#Div0
easiness,0,1,0,0,1,#Div0,#Div0,#Div0
financially,0,4,0,0,4,#Div0,#Div0,#Div0
projects,0,5,0,0,5,#Div0,#Div0,#Div0
jobs,0,11,0,0,11,#Div0,#Div0,#Div0
effectively,0,5,0,0,5,#Div0,#Div0,#Div0
easly,0,1,0,0,1,#Div0,#Div0,#Div0
double,0,1,0,0,1,#Div0,#Div0,#Div0
sudden,0,1,0,0,1,#Div0,#Div0,#Div0
situations,0,10,0,0,10,#Div0,#Div0,#Div0
sensitive,0,1,0,0,1,#Div0,#Div0,#Div0
creating,0,4,0,0,4,#Div0,#Div0,#Div0
thing,0,67,0,0,67,#Div0,#Div0,#Div0
Tokyo,0,3,0,0,3,#Div0,#Div0,#Div0
beleive,0,4,0,0,4,#Div0,#Div0,#Div0
profits,0,1,0,0,1,#Div0,#Div0,#Div0
resorts,0,2,0,0,2,#Div0,#Div0,#Div0
building,0,5,0,1,6,#Div0,0.0,#Div0
multiple,0,1,0,0,1,#Div0,#Div0,#Div0
prohibiting,0,1,0,0,1,#Div0,#Div0,#Div0
provocative,0,1,0,0,1,#Div0,#Div0,#Div0
Taking,0,1,0,1,2,#Div0,0.0,#Div0
exemple,0,6,0,0,6,#Div0,#Div0,#Div0
statement,0,80,0,0,80,#Div0,#Div0,#Div0
tasteless,0,0,0,1,1,#Div0,0.0,#Div0
interacting,0,2,0,0,2,#Div0,#Div0,#Div0
unhealthy,0,1,0,0,1,#Div0,#Div0,#Div0
humains,0,1,0,0,1,#Div0,#Div0,#Div0
frustrating,0,1,0,0,1,#Div0,#Div0,#Div0
Becasue,0,1,0,0,1,#Div0,#Div0,#Div0
Beside,0,1,0,0,1,#Div0,#Div0,#Div0
hav,0,1,0,0,1,#Div0,#Div0,#Div0
othere,0,1,0,0,1,#Div0,#Div0,#Div0
loans,0,1,0,0,1,#Div0,#Div0,#Div0
skilled,0,1,0,0,1,#Div0,#Div0,#Div0
believe,0,63,0,0,63,#Div0,#Div0,#Div0
handling,0,0,0,2,2,#Div0,0.0,#Div0
capable,0,1,0,0,1,#Div0,#Div0,#Div0
theit,0,1,0,0,1,#Div0,#Div0,#Div0
popularlity,0,1,0,0,1,#Div0,#Div0,#Div0
joung,0,2,0,0,2,#Div0,#Div0,#Div0
add,0,1,0,3,4,#Div0,0.0,#Div0
concept,0,30,0,0,30,#Div0,#Div0,#Div0
skill,0,3,0,0,3,#Div0,#Div0,#Div0
intrest,0,2,0,0,2,#Div0,#Div0,#Div0
Someone,0,1,0,0,1,#Div0,#Div0,#Div0
buses,0,9,0,0,9,#Div0,#Div0,#Div0
sciences,0,1,0,0,1,#Div0,#Div0,#Div0
implicate,0,1,0,0,1,#Div0,#Div0,#Div0
eloquent,0,0,0,1,1,#Div0,0.0,#Div0
accomplished,0,3,0,0,3,#Div0,#Div0,#Div0
challengings,0,1,0,0,1,#Div0,#Div0,#Div0
seriouly,0,1,0,0,1,#Div0,#Div0,#Div0
whenever,0,2,0,0,2,#Div0,#Div0,#Div0
lifestyles,0,2,0,0,2,#Div0,#Div0,#Div0
rewarding,0,2,0,2,4,#Div0,0.0,#Div0
presented,0,6,0,0,6,#Div0,#Div0,#Div0
takeing,0,1,0,0,1,#Div0,#Div0,#Div0
solutions,0,3,0,0,3,#Div0,#Div0,#Div0
improvment,0,0,0,1,1,#Div0,0.0,#Div0
spreading,0,0,0,1,1,#Div0,0.0,#Div0
sue,0,1,0,0,1,#Div0,#Div0,#Div0
Sabay,0,2,0,0,2,#Div0,#Div0,#Div0
experiences,0,17,0,0,17,#Div0,#Div0,#Div0
populated,0,1,0,0,1,#Div0,#Div0,#Div0
engaged,0,3,0,0,3,#Div0,#Div0,#Div0
trys,0,2,0,0,2,#Div0,#Div0,#Div0
her,0,41,0,0,41,#Div0,#Div0,#Div0
examine,0,1,0,0,1,#Div0,#Div0,#Div0
sharp,0,0,0,1,1,#Div0,0.0,#Div0
techniques,0,1,0,0,1,#Div0,#Div0,#Div0
incredible,0,2,0,0,2,#Div0,#Div0,#Div0
dynamic,0,0,0,4,4,#Div0,0.0,#Div0
build,0,2,0,6,8,#Div0,0.0,#Div0
Society,0,1,0,0,1,#Div0,#Div0,#Div0
stability,0,0,0,2,2,#Div0,0.0,#Div0
arround,0,1,0,0,1,#Div0,#Div0,#Div0
bring,0,4,0,4,8,#Div0,0.0,#Div0
men,0,6,0,0,6,#Div0,#Div0,#Div0
describes,0,2,0,0,2,#Div0,#Div0,#Div0
said,0,27,0,0,27,#Div0,#Div0,#Div0
interesting,0,17,0,0,17,#Div0,#Div0,#Div0
dought,0,1,0,0,1,#Div0,#Div0,#Div0
repeating,0,2,0,0,2,#Div0,#Div0,#Div0
actevity,0,1,0,0,1,#Div0,#Div0,#Div0
spots,0,1,0,1,2,#Div0,0.0,#Div0
abload,0,1,0,0,1,#Div0,#Div0,#Div0
emphasis,0,1,0,0,1,#Div0,#Div0,#Div0
born,0,3,0,2,5,#Div0,0.0,#Div0
choise,0,1,0,0,1,#Div0,#Div0,#Div0
opinon,0,2,0,0,2,#Div0,#Div0,#Div0
unsatisfactory,0,1,0,0,1,#Div0,#Div0,#Div0
will,0,376,0,0,376,#Div0,#Div0,#Div0
denial,0,1,0,0,1,#Div0,#Div0,#Div0
recover,0,1,0,0,1,#Div0,#Div0,#Div0
peoples,0,4,0,0,4,#Div0,#Div0,#Div0
tout,0,1,0,0,1,#Div0,#Div0,#Div0
competion,0,1,0,0,1,#Div0,#Div0,#Div0
owners,0,1,0,0,1,#Div0,#Div0,#Div0
public,0,21,0,0,21,#Div0,#Div0,#Div0
routine,0,4,0,0,4,#Div0,#Div0,#Div0
freak,0,1,0,0,1,#Div0,#Div0,#Div0
sould,0,2,0,0,2,#Div0,#Div0,#Div0
da,0,1,0,0,1,#Div0,#Div0,#Div0
An,0,3,0,0,3,#Div0,#Div0,#Div0
virtue,0,0,0,1,1,#Div0,0.0,#Div0
rainy,0,1,0,0,1,#Div0,#Div0,#Div0
sold,0,2,0,0,2,#Div0,#Div0,#Div0
instante,0,1,0,0,1,#Div0,#Div0,#Div0
companions,0,1,0,0,1,#Div0,#Div0,#Div0
clear,0,3,0,7,10,#Div0,0.0,#Div0
guide,0,123,0,2,125,#Div0,0.0,#Div0
situtations,0,1,0,0,1,#Div0,#Div0,#Div0
langrages,0,1,0,0,1,#Div0,#Div0,#Div0
except,0,4,0,0,4,#Div0,#Div0,#Div0
teens,0,3,0,0,3,#Div0,#Div0,#Div0
shools,0,1,0,0,1,#Div0,#Div0,#Div0
indirectly,0,1,0,0,1,#Div0,#Div0,#Div0
hate,0,3,0,0,3,#Div0,#Div0,#Div0
firstly,0,1,0,0,1,#Div0,#Div0,#Div0
offcourse,0,1,0,0,1,#Div0,#Div0,#Div0
expecting,0,1,0,0,1,#Div0,#Div0,#Div0
withot,0,1,0,0,1,#Div0,#Div0,#Div0
transportationss,0,1,0,0,1,#Div0,#Div0,#Div0
television,0,4,0,0,4,#Div0,#Div0,#Div0
valued,0,0,0,1,1,#Div0,0.0,#Div0
spare,0,1,0,2,3,#Div0,0.0,#Div0
guided,0,5,0,0,5,#Div0,#Div0,#Div0
intruduced,0,0,0,1,1,#Div0,0.0,#Div0
tired,0,6,0,0,6,#Div0,#Div0,#Div0
Windows,0,1,0,0,1,#Div0,#Div0,#Div0
pollotion,0,1,0,0,1,#Div0,#Div0,#Div0
speacilized,0,2,0,0,2,#Div0,#Div0,#Div0
dreams,0,1,0,1,2,#Div0,0.0,#Div0
Indian,0,1,0,0,1,#Div0,#Div0,#Div0
police,0,1,0,0,1,#Div0,#Div0,#Div0
smooth,0,0,0,1,1,#Div0,0.0,#Div0
wish,0,4,0,0,4,#Div0,#Div0,#Div0
surroundings,0,1,0,0,1,#Div0,#Div0,#Div0
process,0,16,0,0,16,#Div0,#Div0,#Div0
final,0,3,0,0,3,#Div0,#Div0,#Div0
realm,0,1,0,0,1,#Div0,#Div0,#Div0
custmers,0,1,0,0,1,#Div0,#Div0,#Div0
futures,0,2,0,0,2,#Div0,#Div0,#Div0
alone,0,28,0,0,28,#Div0,#Div0,#Div0
sector,0,1,0,1,2,#Div0,0.0,#Div0
disapointted,0,2,0,0,2,#Div0,#Div0,#Div0
open,0,1,0,10,11,#Div0,0.0,#Div0
surely,0,11,0,0,11,#Div0,#Div0,#Div0
couple,0,4,0,0,4,#Div0,#Div0,#Div0
conclusion,0,32,0,0,32,#Div0,#Div0,#Div0
advatntages,0,1,0,0,1,#Div0,#Div0,#Div0
shows,0,11,0,2,13,#Div0,0.0,#Div0
instantly,0,1,0,0,1,#Div0,#Div0,#Div0
Sorses,0,0,0,1,1,#Div0,0.0,#Div0
legend,0,0,0,1,1,#Div0,0.0,#Div0
totaly,0,1,0,0,1,#Div0,#Div0,#Div0
larning,0,1,0,0,1,#Div0,#Div0,#Div0
things,0,183,0,0,183,#Div0,#Div0,#Div0
iif,0,1,0,0,1,#Div0,#Div0,#Div0
Attendig,0,1,0,0,1,#Div0,#Div0,#Div0
Acording,0,1,0,0,1,#Div0,#Div0,#Div0
expressions,0,3,0,0,3,#Div0,#Div0,#Div0
growing,0,3,0,7,10,#Div0,0.0,#Div0
umemployment,0,1,0,0,1,#Div0,#Div0,#Div0
head,0,1,0,0,1,#Div0,#Div0,#Div0
overall,0,2,0,0,2,#Div0,#Div0,#Div0
planned,0,2,0,0,2,#Div0,#Div0,#Div0
prospective,0,2,0,0,2,#Div0,#Div0,#Div0
Brazil,0,1,0,0,1,#Div0,#Div0,#Div0
American,0,4,0,0,4,#Div0,#Div0,#Div0
flying,0,0,0,1,1,#Div0,0.0,#Div0
classmate,0,1,0,0,1,#Div0,#Div0,#Div0
spaces,0,0,0,1,1,#Div0,0.0,#Div0
Gemany,0,1,0,0,1,#Div0,#Div0,#Div0
complexities,0,0,0,1,1,#Div0,0.0,#Div0
hydrogen,0,1,0,0,1,#Div0,#Div0,#Div0
worthless,0,0,0,2,2,#Div0,0.0,#Div0
class,0,17,0,1,18,#Div0,0.0,#Div0
sings,0,1,0,0,1,#Div0,#Div0,#Div0
limitaions,0,0,0,1,1,#Div0,0.0,#Div0
important,0,122,0,0,122,#Div0,#Div0,#Div0
merely,0,2,0,0,2,#Div0,#Div0,#Div0
neutral,0,0,0,1,1,#Div0,0.0,#Div0
moved,0,4,0,2,6,#Div0,0.0,#Div0
chances,0,9,0,0,9,#Div0,#Div0,#Div0
group,0,91,0,0,91,#Div0,#Div0,#Div0
likes,0,4,0,0,4,#Div0,#Div0,#Div0
planet,0,6,0,0,6,#Div0,#Div0,#Div0
chooses,0,1,0,0,1,#Div0,#Div0,#Div0
magazine,0,6,0,0,6,#Div0,#Div0,#Div0
conversations,0,3,0,0,3,#Div0,#Div0,#Div0
analyze,0,2,1,0,3,0.0,#Div0,#Div0
reasearh,0,1,0,0,1,#Div0,#Div0,#Div0
lot,0,98,0,0,98,#Div0,#Div0,#Div0
nesessary,0,1,0,0,1,#Div0,#Div0,#Div0
buy,0,42,0,1,43,#Div0,0.0,#Div0
avarage,0,1,0,0,1,#Div0,#Div0,#Div0
Concluding,0,1,0,0,1,#Div0,#Div0,#Div0
planets,0,1,0,0,1,#Div0,#Div0,#Div0
Overall,0,1,0,0,1,#Div0,#Div0,#Div0
HONDA,0,2,0,0,2,#Div0,#Div0,#Div0
pants,0,1,0,0,1,#Div0,#Div0,#Div0
States,0,9,0,0,9,#Div0,#Div0,#Div0
specialisation,0,2,0,0,2,#Div0,#Div0,#Div0
statmenet,0,1,0,0,1,#Div0,#Div0,#Div0
tasks,0,1,0,0,1,#Div0,#Div0,#Div0
roald,0,1,0,0,1,#Div0,#Div0,#Div0
hackers,0,2,0,0,2,#Div0,#Div0,#Div0
burst,0,0,0,1,1,#Div0,0.0,#Div0
requires,0,10,0,3,13,#Div0,0.0,#Div0
fast,0,7,0,2,9,#Div0,0.0,#Div0
alerady,0,1,0,0,1,#Div0,#Div0,#Div0
discovered,0,3,0,0,3,#Div0,#Div0,#Div0
enrolls,0,1,0,0,1,#Div0,#Div0,#Div0
Pakistan,0,1,0,0,1,#Div0,#Div0,#Div0
nightmare,0,0,0,1,1,#Div0,0.0,#Div0
attenction,0,1,0,0,1,#Div0,#Div0,#Div0
unlimited,0,0,0,1,1,#Div0,0.0,#Div0
becuase,0,1,0,0,1,#Div0,#Div0,#Div0
She,0,4,0,0,4,#Div0,#Div0,#Div0
subjects,0,76,0,0,76,#Div0,#Div0,#Div0
ingredients,0,1,0,0,1,#Div0,#Div0,#Div0
tied,0,0,0,1,1,#Div0,0.0,#Div0
worldwide,0,1,0,0,1,#Div0,#Div0,#Div0
stricted,0,0,0,1,1,#Div0,0.0,#Div0
adn,0,1,0,0,1,#Div0,#Div0,#Div0
forthcoming,0,1,0,0,1,#Div0,#Div0,#Div0
syptoms,0,1,0,0,1,#Div0,#Div0,#Div0
using,0,34,0,1,35,#Div0,0.0,#Div0
fresh,0,2,0,2,4,#Div0,0.0,#Div0
marriage,0,1,0,0,1,#Div0,#Div0,#Div0
expenses,0,1,0,0,1,#Div0,#Div0,#Div0
caretaker,0,1,0,0,1,#Div0,#Div0,#Div0
occurences,0,1,0,0,1,#Div0,#Div0,#Div0
suffer,0,0,0,1,1,#Div0,0.0,#Div0
fees,0,1,0,0,1,#Div0,#Div0,#Div0
connecting,0,0,0,1,1,#Div0,0.0,#Div0
stood,0,0,0,1,1,#Div0,0.0,#Div0
till,0,4,0,0,4,#Div0,#Div0,#Div0
profitable,0,1,0,0,1,#Div0,#Div0,#Div0
exposing,0,1,0,0,1,#Div0,#Div0,#Div0
regardless,0,4,0,0,4,#Div0,#Div0,#Div0
punced,0,1,0,0,1,#Div0,#Div0,#Div0
whats,0,3,0,0,3,#Div0,#Div0,#Div0
stain,0,2,0,0,2,#Div0,#Div0,#Div0
.g,0,1,0,0,1,#Div0,#Div0,#Div0
Hong,0,1,0,0,1,#Div0,#Div0,#Div0
located,0,1,0,0,1,#Div0,#Div0,#Div0
prefers,0,1,0,0,1,#Div0,#Div0,#Div0
humanity,0,1,0,0,1,#Div0,#Div0,#Div0
advance,0,2,0,1,3,#Div0,0.0,#Div0
generous,0,1,0,0,1,#Div0,#Div0,#Div0
churches,0,3,0,0,3,#Div0,#Div0,#Div0
spoken,0,1,0,0,1,#Div0,#Div0,#Div0
pattern,0,1,0,0,1,#Div0,#Div0,#Div0
specialising,0,1,0,0,1,#Div0,#Div0,#Div0
achieved,0,3,0,1,4,#Div0,0.0,#Div0
craizy,0,0,0,1,1,#Div0,0.0,#Div0
alon,0,1,0,0,1,#Div0,#Div0,#Div0
box,0,1,0,0,1,#Div0,#Div0,#Div0
vast,0,1,0,2,3,#Div0,0.0,#Div0
keening,0,1,0,0,1,#Div0,#Div0,#Div0
blieve,0,1,0,0,1,#Div0,#Div0,#Div0
girlfriend,0,2,0,0,2,#Div0,#Div0,#Div0
throughout,0,3,0,0,3,#Div0,#Div0,#Div0
awareness,0,3,0,0,3,#Div0,#Div0,#Div0
torist,0,1,0,0,1,#Div0,#Div0,#Div0
implying,0,2,0,0,2,#Div0,#Div0,#Div0
belive,0,5,0,0,5,#Div0,#Div0,#Div0
way,0,104,0,6,110,#Div0,0.0,#Div0
wiser,0,1,0,0,1,#Div0,#Div0,#Div0
How,0,11,0,0,11,#Div0,#Div0,#Div0
plus,0,1,0,0,1,#Div0,#Div0,#Div0
phenomenon,0,2,0,0,2,#Div0,#Div0,#Div0
zones,0,3,0,0,3,#Div0,#Div0,#Div0
San,0,1,0,0,1,#Div0,#Div0,#Div0
minding,0,1,0,0,1,#Div0,#Div0,#Div0
intelligents,0,1,0,0,1,#Div0,#Div0,#Div0
met,0,4,0,0,4,#Div0,#Div0,#Div0
Ichild,0,1,0,0,1,#Div0,#Div0,#Div0
golfing,0,2,0,0,2,#Div0,#Div0,#Div0
Payment,0,1,0,0,1,#Div0,#Div0,#Div0
today,0,34,0,0,34,#Div0,#Div0,#Div0
improving,0,7,0,0,7,#Div0,#Div0,#Div0
dragged,0,0,0,1,1,#Div0,0.0,#Div0
batteries,0,1,0,0,1,#Div0,#Div0,#Div0
excellent,0,1,0,0,1,#Div0,#Div0,#Div0
princesses,0,1,0,0,1,#Div0,#Div0,#Div0
orphanage,0,2,0,0,2,#Div0,#Div0,#Div0
metod,0,1,0,0,1,#Div0,#Div0,#Div0
plane,0,4,0,0,4,#Div0,#Div0,#Div0
troubles,0,2,0,0,2,#Div0,#Div0,#Div0
