darkthoughtsConfidence,darkthoughtsIsCorrect,darkthoughtsPredictedLabel,label,newClusterConfidence,newClusterIsCorrect,newClusterPredictedLabel,source,target
1.0,1,True,True,0.0,0,False,angry,welt
1.0,1,True,True,0.0,0,False,bald,assertion
0.7692307692307692,0,False,True,0.0,0,False,bare,outline
1.0,1,True,True,0.0,0,False,blind,alley
0.8333333333333333,0,False,True,0.0,0,False,bloody,stupidity
1.0,1,True,True,0.0,0,False,blunt,honesty
1.0,1,True,True,0.0,0,False,breezy,disregard
1.0,1,True,True,0.0,0,False,bright,idea
0.7142857142857142,0,False,True,0.0,0,False,brown,threat
1.0,1,True,True,0.0,0,False,bubbly,actress
1.0,1,True,True,0.0,0,False,clean,conscience
0.8,0,False,True,0.0,0,False,clear,explanation
1.0,1,True,True,0.0,0,False,cloudy,future
1.0,1,True,True,1.0,0,False,cold,reality
0.8333333333333333,0,False,True,0.0,0,False,cool,feature
1.0,1,True,True,0.0,0,False,dark,laughter
1.0,1,True,True,0.0,0,False,dead,giveaway
1.0,1,True,True,0.0,0,False,deep,understanding
1.0,1,True,True,0.0,0,False,dirty,word
1.0,1,True,True,1.0,1,True,dry,wit
1.0,1,True,True,0.0,0,False,dumb,luck
1.0,1,True,True,0.0,0,False,empty,promise
1.0,1,True,True,0.0,0,False,Fat,chance
1.0,1,True,True,0.0,0,False,fiery,temper
1.0,1,True,True,0.0,0,False,filthy,mind
0.8,0,False,True,0.0,0,False,firm,conviction
1.0,1,True,True,1.0,1,True,foggy,brain
1.0,1,True,True,1.0,1,True,fresh,thinking
1.0,1,True,True,1.0,1,True,frosty,relation
1.0,1,True,True,0.0,0,False,fuzzy,logic
1.0,1,True,True,0.0,0,False,greasy,smile
1.0,1,True,True,0.0,0,False,green,energy
1.0,1,True,True,0.0,0,False,hairy,problem
0.7692307692307692,0,False,True,0.0,0,False,hard,truth
1.0,0,False,True,0.0,0,False,healthy,balance
1.0,1,True,True,0.0,0,False,heavy,tax
1.0,1,True,True,0.0,0,False,heavy,fight
1.0,1,True,True,0.0,0,False,honest,meal
1.0,1,True,True,0.0,0,False,hot,topic
1.0,1,True,True,0.0,0,False,icy,glare
1.0,1,True,True,0.0,0,False,juicy,scandal
1.0,1,True,True,0.0,0,False,lame,excuse
1.0,1,True,True,0.0,0,False,lean,budget
1.0,1,True,True,1.0,0,False,mad,sprint
1.0,1,True,True,0.0,0,False,murky,past
1.0,1,True,True,0.0,0,False,narrow,mind
1.0,1,True,True,0.0,0,False,purple,prose
1.0,1,True,True,0.0,0,False,quiet,revolution
1.0,1,True,True,1.0,1,True,raw,emotion
1.0,1,True,True,0.0,0,False,red,alert
