token,tp_cases,fp_cases,tn_cases,fn_cases,total_cases,precision,recall,f1-score
hurt,0,0,1,0,1,#Div0,#Div0,#Div0
exact,0,0,2,0,2,#Div0,#Div0,#Div0
ensures,0,0,1,0,1,#Div0,#Div0,#Div0
man,0,0,10,0,10,#Div0,#Div0,#Div0
such,0,1,13,0,14,0.0,#Div0,#Div0
take,0,0,61,17,78,#Div0,0.0,#Div0
past,0,0,6,0,6,#Div0,#Div0,#Div0
church,0,0,1,0,1,#Div0,#Div0,#Div0
Market,0,0,1,0,1,#Div0,#Div0,#Div0
beyond,0,0,0,1,1,#Div0,0.0,#Div0
require,0,0,4,1,5,#Div0,0.0,#Div0
improvement,0,0,1,0,1,#Div0,#Div0,#Div0
removing,0,0,1,0,1,#Div0,#Div0,#Div0
mental,0,0,4,0,4,#Div0,#Div0,#Div0
deep,0,0,0,3,3,#Div0,0.0,#Div0
eastern,0,0,1,0,1,#Div0,#Div0,#Div0
founder,0,0,1,0,1,#Div0,#Div0,#Div0
left,0,0,2,1,3,#Div0,0.0,#Div0
basic,0,0,4,3,7,#Div0,0.0,#Div0
agency,0,0,1,0,1,#Div0,#Div0,#Div0
agreed,0,0,2,0,2,#Div0,#Div0,#Div0
high-speed,0,0,1,0,1,#Div0,#Div0,#Div0
energetic,0,0,1,0,1,#Div0,#Div0,#Div0
dealing,0,0,1,0,1,#Div0,#Div0,#Div0
lecture,0,0,1,0,1,#Div0,#Div0,#Div0
mislead,0,0,0,1,1,#Div0,0.0,#Div0
provides,0,0,3,0,3,#Div0,#Div0,#Div0
commit,0,0,1,0,1,#Div0,#Div0,#Div0
avaliable,0,0,1,0,1,#Div0,#Div0,#Div0
post,0,0,1,0,1,#Div0,#Div0,#Div0
endless,0,0,0,1,1,#Div0,0.0,#Div0
solving,0,0,2,0,2,#Div0,#Div0,#Div0
clear,0,0,1,5,6,#Div0,0.0,#Div0
advertisement,0,0,9,0,9,#Div0,#Div0,#Div0
Living,0,0,1,0,1,#Div0,#Div0,#Div0
cutting,0,0,0,1,1,#Div0,0.0,#Div0
aslo,0,0,1,0,1,#Div0,#Div0,#Div0
raising,0,0,5,0,5,#Div0,#Div0,#Div0
making,0,0,20,0,20,#Div0,#Div0,#Div0
tourists,0,0,1,0,1,#Div0,#Div0,#Div0
price,0,0,3,0,3,#Div0,#Div0,#Div0
mean,0,0,19,0,19,#Div0,#Div0,#Div0
happens,0,0,4,0,4,#Div0,#Div0,#Div0
depended,0,0,1,0,1,#Div0,#Div0,#Div0
economy,0,0,2,0,2,#Div0,#Div0,#Div0
Resulting,0,0,1,0,1,#Div0,#Div0,#Div0
points,0,0,0,1,1,#Div0,0.0,#Div0
absurd,0,0,1,0,1,#Div0,#Div0,#Div0
source,0,0,1,0,1,#Div0,#Div0,#Div0
advanced,0,0,5,2,7,#Div0,0.0,#Div0
chase,0,0,0,1,1,#Div0,0.0,#Div0
advantages,0,0,2,0,2,#Div0,#Div0,#Div0
fact,0,0,2,0,2,#Div0,#Div0,#Div0
prepare,0,0,2,1,3,#Div0,0.0,#Div0
spare,0,0,1,2,3,#Div0,0.0,#Div0
reap,0,0,0,1,1,#Div0,0.0,#Div0
explained,0,0,3,0,3,#Div0,#Div0,#Div0
encourage,0,0,3,0,3,#Div0,#Div0,#Div0
enable,0,0,2,0,2,#Div0,#Div0,#Div0
eminent,0,0,1,0,1,#Div0,#Div0,#Div0
metropolitan,0,0,1,0,1,#Div0,#Div0,#Div0
existence,0,0,1,0,1,#Div0,#Div0,#Div0
tells,0,0,5,0,5,#Div0,#Div0,#Div0
enjoyment,0,0,1,0,1,#Div0,#Div0,#Div0
brave,0,0,6,0,6,#Div0,#Div0,#Div0
new,0,0,169,3,172,#Div0,0.0,#Div0
compromising,0,0,1,0,1,#Div0,#Div0,#Div0
twenty-five,0,0,1,0,1,#Div0,#Div0,#Div0
serving,0,0,1,0,1,#Div0,#Div0,#Div0
figure,0,0,2,0,2,#Div0,#Div0,#Div0
worked,0,1,7,0,8,0.0,#Div0,#Div0
decent,0,0,2,0,2,#Div0,#Div0,#Div0
specialized,0,0,30,0,30,#Div0,#Div0,#Div0
world,0,0,3,5,8,#Div0,0.0,#Div0
nominate,0,0,1,0,1,#Div0,#Div0,#Div0
travel,0,14,21,0,35,0.0,#Div0,#Div0
refer,0,0,1,0,1,#Div0,#Div0,#Div0
employ,0,0,1,0,1,#Div0,#Div0,#Div0
correction,0,0,0,1,1,#Div0,0.0,#Div0
broke,0,0,0,1,1,#Div0,0.0,#Div0
mostof,0,0,1,0,1,#Div0,#Div0,#Div0
hired,0,0,1,0,1,#Div0,#Div0,#Div0
typical,0,0,5,0,5,#Div0,#Div0,#Div0
explanation,0,0,3,0,3,#Div0,#Div0,#Div0
final,0,0,3,0,3,#Div0,#Div0,#Div0
Helping,0,0,1,0,1,#Div0,#Div0,#Div0
tour,0,0,23,0,23,#Div0,#Div0,#Div0
describe,0,0,2,0,2,#Div0,#Div0,#Div0
towards,0,0,1,0,1,#Div0,#Div0,#Div0
possibility,0,0,3,0,3,#Div0,#Div0,#Div0
thinking,0,0,10,0,10,#Div0,#Div0,#Div0
model,0,0,2,0,2,#Div0,#Div0,#Div0
admired,0,0,2,0,2,#Div0,#Div0,#Div0
express,0,0,1,0,1,#Div0,#Div0,#Div0
case,0,0,6,0,6,#Div0,#Div0,#Div0
sold,0,0,1,0,1,#Div0,#Div0,#Div0
sustained,0,0,0,1,1,#Div0,0.0,#Div0
Acording,0,0,1,0,1,#Div0,#Div0,#Div0
intense,0,0,0,1,1,#Div0,0.0,#Div0
repeat,0,0,4,0,4,#Div0,#Div0,#Div0
quality,0,0,7,0,7,#Div0,#Div0,#Div0
entrepreneurial,0,0,1,0,1,#Div0,#Div0,#Div0
immerse,0,0,0,1,1,#Div0,0.0,#Div0
didn,0,0,2,0,2,#Div0,#Div0,#Div0
atmosphere,0,0,0,1,1,#Div0,0.0,#Div0
purpose,0,0,5,0,5,#Div0,#Div0,#Div0
older,0,0,1,0,1,#Div0,#Div0,#Div0
giving,0,0,5,5,10,#Div0,0.0,#Div0
solar,0,0,1,0,1,#Div0,#Div0,#Div0
further,0,0,3,0,3,#Div0,#Div0,#Div0
shows,0,0,9,2,11,#Div0,0.0,#Div0
revolutionized,0,0,1,0,1,#Div0,#Div0,#Div0
wil,0,0,2,0,2,#Div0,#Div0,#Div0
selfish,0,0,3,0,3,#Div0,#Div0,#Div0
amounts,0,0,1,0,1,#Div0,#Div0,#Div0
look,0,0,18,4,22,#Div0,0.0,#Div0
seen,0,0,8,0,8,#Div0,#Div0,#Div0
money,0,0,2,1,3,#Div0,0.0,#Div0
decided,0,0,6,0,6,#Div0,#Div0,#Div0
adn,0,0,1,0,1,#Div0,#Div0,#Div0
perception,0,0,0,1,1,#Div0,0.0,#Div0
handicapped,0,1,0,0,1,0.0,#Div0,#Div0
required,0,0,9,0,9,#Div0,#Div0,#Div0
lessen,0,0,1,0,1,#Div0,#Div0,#Div0
thinks,0,0,2,0,2,#Div0,#Div0,#Div0
genuine,0,0,1,0,1,#Div0,#Div0,#Div0
wise,0,0,1,0,1,#Div0,#Div0,#Div0
frozen,0,0,1,0,1,#Div0,#Div0,#Div0
Have,0,0,3,0,3,#Div0,#Div0,#Div0
political,0,0,4,0,4,#Div0,#Div0,#Div0
structure,1,0,0,1,2,1.0,0.5,0.6666666666666666
pains,0,0,0,1,1,#Div0,0.0,#Div0
guided,0,0,5,0,5,#Div0,#Div0,#Div0
progressed,0,0,1,0,1,#Div0,#Div0,#Div0
question,0,0,2,0,2,#Div0,#Div0,#Div0
policies,0,0,1,0,1,#Div0,#Div0,#Div0
fidelity,0,0,1,0,1,#Div0,#Div0,#Div0
abstract,0,0,2,0,2,#Div0,#Div0,#Div0
necessity,0,0,2,0,2,#Div0,#Div0,#Div0
genetic,0,0,1,0,1,#Div0,#Div0,#Div0
becomes,0,0,4,0,4,#Div0,#Div0,#Div0
strange,0,0,3,0,3,#Div0,#Div0,#Div0
get,0,0,65,16,81,#Div0,0.0,#Div0
fall,0,0,2,0,2,#Div0,#Div0,#Div0
wider,0,0,0,2,2,#Div0,0.0,#Div0
so-called,0,0,2,0,2,#Div0,#Div0,#Div0
kind,0,0,39,0,39,#Div0,#Div0,#Div0
prevent,0,0,4,0,4,#Div0,#Div0,#Div0
experience,0,0,13,0,13,#Div0,#Div0,#Div0
results,0,0,2,0,2,#Div0,#Div0,#Div0
see,0,0,44,8,52,#Div0,0.0,#Div0
African,0,0,1,0,1,#Div0,#Div0,#Div0
flexibility,0,0,0,1,1,#Div0,0.0,#Div0
study,0,14,18,0,32,0.0,#Div0,#Div0
be,0,0,279,0,279,#Div0,#Div0,#Div0
generalize,0,0,3,0,3,#Div0,#Div0,#Div0
tied,0,0,0,2,2,#Div0,0.0,#Div0
elementary,0,0,1,0,1,#Div0,#Div0,#Div0
declare,0,0,1,0,1,#Div0,#Div0,#Div0
liberty,0,0,1,0,1,#Div0,#Div0,#Div0
useful,0,0,4,0,4,#Div0,#Div0,#Div0
removes,0,0,1,0,1,#Div0,#Div0,#Div0
conception,0,0,0,1,1,#Div0,0.0,#Div0
black,0,0,1,0,1,#Div0,#Div0,#Div0
burst,0,0,0,1,1,#Div0,0.0,#Div0
raise,0,0,1,0,1,#Div0,#Div0,#Div0
acknowledgements,0,0,1,0,1,#Div0,#Div0,#Div0
marry,0,1,1,0,2,0.0,#Div0,#Div0
wondered,0,0,1,0,1,#Div0,#Div0,#Div0
Considering,0,0,4,0,4,#Div0,#Div0,#Div0
affirm,0,0,1,0,1,#Div0,#Div0,#Div0
original,0,0,2,1,3,#Div0,0.0,#Div0
normal,0,0,8,0,8,#Div0,#Div0,#Div0
miss,1,0,1,3,5,1.0,0.25,0.4
competitive,0,0,1,0,1,#Div0,#Div0,#Div0
sacrificing,0,0,0,1,1,#Div0,0.0,#Div0
complained,0,0,1,0,1,#Div0,#Div0,#Div0
holding,0,0,1,0,1,#Div0,#Div0,#Div0
cold,0,0,1,0,1,#Div0,#Div0,#Div0
comfortable,0,0,2,3,5,#Div0,0.0,#Div0
branding,0,0,1,0,1,#Div0,#Div0,#Div0
guessed,0,0,1,0,1,#Div0,#Div0,#Div0
shape,0,0,1,1,2,#Div0,0.0,#Div0
name,0,0,1,0,1,#Div0,#Div0,#Div0
horizontal,0,0,0,3,3,#Div0,0.0,#Div0
fields,0,0,2,1,3,#Div0,0.0,#Div0
thier,0,0,1,0,1,#Div0,#Div0,#Div0
successes,0,0,2,0,2,#Div0,#Div0,#Div0
levels,0,0,2,0,2,#Div0,#Div0,#Div0
side,0,0,0,2,2,#Div0,0.0,#Div0
dynamic,0,0,0,2,2,#Div0,0.0,#Div0
insist,0,0,1,0,1,#Div0,#Div0,#Div0
houses,0,0,1,0,1,#Div0,#Div0,#Div0
general,0,0,17,0,17,#Div0,#Div0,#Div0
Knowing,0,0,3,0,3,#Div0,#Div0,#Div0
Club,0,0,1,0,1,#Div0,#Div0,#Div0
alter,0,0,1,0,1,#Div0,#Div0,#Div0
hear,0,0,3,0,3,#Div0,#Div0,#Div0
clothes,0,0,1,0,1,#Div0,#Div0,#Div0
responsabilities,0,0,1,0,1,#Div0,#Div0,#Div0
combination,0,0,1,0,1,#Div0,#Div0,#Div0
methods,0,0,3,0,3,#Div0,#Div0,#Div0
multiple,0,0,1,0,1,#Div0,#Div0,#Div0
fee,0,0,2,0,2,#Div0,#Div0,#Div0
cosmetic,0,0,4,0,4,#Div0,#Div0,#Div0
premises,0,0,0,1,1,#Div0,0.0,#Div0
trends,0,0,1,0,1,#Div0,#Div0,#Div0
needy,0,0,4,0,4,#Div0,#Div0,#Div0
control,0,0,1,2,3,#Div0,0.0,#Div0
fancy,0,0,2,0,2,#Div0,#Div0,#Div0
lot,0,0,70,0,70,#Div0,#Div0,#Div0
began,0,0,3,0,3,#Div0,#Div0,#Div0
English,0,0,1,0,1,#Div0,#Div0,#Div0
defended,0,0,0,2,2,#Div0,0.0,#Div0
Honda,0,0,1,0,1,#Div0,#Div0,#Div0
focussed,0,0,0,1,1,#Div0,0.0,#Div0
feeling,0,0,5,0,5,#Div0,#Div0,#Div0
stages,0,0,0,1,1,#Div0,0.0,#Div0
government,0,0,1,0,1,#Div0,#Div0,#Div0
Asian,0,0,1,0,1,#Div0,#Div0,#Div0
Enjoying,0,0,2,0,2,#Div0,#Div0,#Div0
advancing,0,0,0,1,1,#Div0,0.0,#Div0
works,1,0,9,0,10,1.0,1.0,1.0
advertisments,0,0,1,0,1,#Div0,#Div0,#Div0
pollute,0,0,1,0,1,#Div0,#Div0,#Div0
updated,0,0,1,0,1,#Div0,#Div0,#Div0
requires,0,0,11,4,15,#Div0,0.0,#Div0
endeavored,0,0,1,0,1,#Div0,#Div0,#Div0
streets,0,0,1,0,1,#Div0,#Div0,#Div0
actions,0,0,1,0,1,#Div0,#Div0,#Div0
read,0,0,11,0,11,#Div0,#Div0,#Div0
productive,0,0,1,0,1,#Div0,#Div0,#Div0
gives,0,0,12,16,28,#Div0,0.0,#Div0
leaders,0,0,1,0,1,#Div0,#Div0,#Div0
rewarding,0,1,1,0,2,0.0,#Div0,#Div0
contracting,0,0,1,0,1,#Div0,#Div0,#Div0
cutting-edge,0,0,0,1,1,#Div0,0.0,#Div0
approriate,0,0,1,0,1,#Div0,#Div0,#Div0
cycle,0,0,1,0,1,#Div0,#Div0,#Div0
lazy,0,0,1,0,1,#Div0,#Div0,#Div0
Second,0,0,2,0,2,#Div0,#Div0,#Div0
forget,0,0,2,1,3,#Div0,0.0,#Div0
types,0,0,9,0,9,#Div0,#Div0,#Div0
reasearch,0,0,1,0,1,#Div0,#Div0,#Div0
complement,0,0,0,2,2,#Div0,0.0,#Div0
color,0,0,2,0,2,#Div0,#Div0,#Div0
remembering,0,0,2,0,2,#Div0,#Div0,#Div0
toshiba,0,0,3,0,3,#Div0,#Div0,#Div0
consult,0,0,1,0,1,#Div0,#Div0,#Div0
filled,0,0,0,1,1,#Div0,0.0,#Div0
teaches,0,0,1,0,1,#Div0,#Div0,#Div0
punched,0,0,1,0,1,#Div0,#Div0,#Div0
dream,0,0,0,1,1,#Div0,0.0,#Div0
anybody,0,0,1,0,1,#Div0,#Div0,#Div0
invested,0,0,1,0,1,#Div0,#Div0,#Div0
advice,0,0,1,0,1,#Div0,#Div0,#Div0
day,0,0,4,0,4,#Div0,#Div0,#Div0
arrange,0,0,1,0,1,#Div0,#Div0,#Div0
maintain,0,0,3,0,3,#Div0,#Div0,#Div0
learing,0,0,2,0,2,#Div0,#Div0,#Div0
touched,0,0,0,1,1,#Div0,0.0,#Div0
percentage,0,0,1,0,1,#Div0,#Div0,#Div0
partner,0,0,1,0,1,#Div0,#Div0,#Div0
raised,0,0,1,1,2,#Div0,0.0,#Div0
bored,0,0,3,0,3,#Div0,#Div0,#Div0
leaving,1,0,2,1,4,1.0,0.5,0.6666666666666666
Knowledge,0,0,1,0,1,#Div0,#Div0,#Div0
disappointed,0,0,1,0,1,#Div0,#Div0,#Div0
join,0,0,5,0,5,#Div0,#Div0,#Div0
lens,0,0,0,1,1,#Div0,0.0,#Div0
create,0,0,7,1,8,#Div0,0.0,#Div0
areas,0,0,0,1,1,#Div0,0.0,#Div0
late,0,0,0,1,1,#Div0,0.0,#Div0
laptop,0,0,2,0,2,#Div0,#Div0,#Div0
stems,0,0,0,1,1,#Div0,0.0,#Div0
technologies,0,0,1,0,1,#Div0,#Div0,#Div0
history,0,0,3,0,3,#Div0,#Div0,#Div0
platform,0,0,0,1,1,#Div0,0.0,#Div0
creamy,0,0,1,0,1,#Div0,#Div0,#Div0
insult,0,1,0,0,1,0.0,#Div0,#Div0
year,0,0,1,0,1,#Div0,#Div0,#Div0
behavior,0,1,4,0,5,0.0,#Div0,#Div0
reached,0,0,1,6,7,#Div0,0.0,#Div0
weare,0,0,1,0,1,#Div0,#Div0,#Div0
finished,0,0,1,0,1,#Div0,#Div0,#Div0
cheat,0,0,0,2,2,#Div0,0.0,#Div0
being,0,0,16,0,16,#Div0,#Div0,#Div0
exams,0,0,1,0,1,#Div0,#Div0,#Div0
unusual,0,0,1,0,1,#Div0,#Div0,#Div0
carried,0,0,0,1,1,#Div0,0.0,#Div0
behave,0,1,2,0,3,0.0,#Div0,#Div0
democracy,0,0,2,0,2,#Div0,#Div0,#Div0
producer,0,0,1,0,1,#Div0,#Div0,#Div0
warmth,0,0,0,1,1,#Div0,0.0,#Div0
loved,0,0,1,0,1,#Div0,#Div0,#Div0
tests,0,0,1,0,1,#Div0,#Div0,#Div0
homeless,0,0,1,0,1,#Div0,#Div0,#Div0
plane,0,0,1,0,1,#Div0,#Div0,#Div0
takeing,0,0,1,0,1,#Div0,#Div0,#Div0
arrival,0,0,1,0,1,#Div0,#Div0,#Div0
recruiting,0,0,1,0,1,#Div0,#Div0,#Div0
staying,0,0,2,0,2,#Div0,#Div0,#Div0
saying,0,0,9,0,9,#Div0,#Div0,#Div0
unemployed,0,1,1,0,2,0.0,#Div0,#Div0
Paolo,0,0,1,0,1,#Div0,#Div0,#Div0
populated,0,0,1,0,1,#Div0,#Div0,#Div0
graduated,0,0,3,0,3,#Div0,#Div0,#Div0
alon,0,0,1,0,1,#Div0,#Div0,#Div0
convince,0,0,1,0,1,#Div0,#Div0,#Div0
joung,0,0,1,0,1,#Div0,#Div0,#Div0
bothered,0,0,1,0,1,#Div0,#Div0,#Div0
invention,0,0,1,0,1,#Div0,#Div0,#Div0
hire,0,0,3,0,3,#Div0,#Div0,#Div0
along,0,0,1,0,1,#Div0,#Div0,#Div0
saving,0,0,1,0,1,#Div0,#Div0,#Div0
happy,0,0,2,0,2,#Div0,#Div0,#Div0
unselfish,0,0,1,0,1,#Div0,#Div0,#Div0
willing,0,0,0,1,1,#Div0,0.0,#Div0
intrested,0,0,1,0,1,#Div0,#Div0,#Div0
germany,0,0,1,0,1,#Div0,#Div0,#Div0
impression,0,0,2,0,2,#Div0,#Div0,#Div0
carries,0,0,0,1,1,#Div0,0.0,#Div0
symbols,0,0,1,0,1,#Div0,#Div0,#Div0
anything,0,0,1,0,1,#Div0,#Div0,#Div0
entire,0,0,2,0,2,#Div0,#Div0,#Div0
foreing,0,0,1,0,1,#Div0,#Div0,#Div0
move,0,2,7,1,10,0.0,0.0,#Div0
benefited,0,0,1,0,1,#Div0,#Div0,#Div0
prices,0,0,3,0,3,#Div0,#Div0,#Div0
remove,0,0,1,0,1,#Div0,#Div0,#Div0
oun,0,0,1,0,1,#Div0,#Div0,#Div0
reducing,0,0,3,0,3,#Div0,#Div0,#Div0
duty,0,0,1,0,1,#Div0,#Div0,#Div0
progresses,0,0,1,0,1,#Div0,#Div0,#Div0
deceived,0,0,1,0,1,#Div0,#Div0,#Div0
above,0,0,1,0,1,#Div0,#Div0,#Div0
solution,0,0,1,0,1,#Div0,#Div0,#Div0
mroe,0,0,1,0,1,#Div0,#Div0,#Div0
mentioning,0,0,1,0,1,#Div0,#Div0,#Div0
clarify,0,0,1,0,1,#Div0,#Div0,#Div0
archeological,0,0,1,0,1,#Div0,#Div0,#Div0
ignoring,0,0,3,0,3,#Div0,#Div0,#Div0
restriction,0,0,0,1,1,#Div0,0.0,#Div0
broaden,0,0,0,1,1,#Div0,0.0,#Div0
activity,0,0,1,0,1,#Div0,#Div0,#Div0
journey,0,0,0,1,1,#Div0,0.0,#Div0
invited,0,0,2,0,2,#Div0,#Div0,#Div0
generic,0,0,1,0,1,#Div0,#Div0,#Div0
starting,0,0,2,1,3,#Div0,0.0,#Div0
posters,0,0,1,0,1,#Div0,#Div0,#Div0
discourage,0,0,1,0,1,#Div0,#Div0,#Div0
well-made,0,0,1,0,1,#Div0,#Div0,#Div0
native,0,0,1,0,1,#Div0,#Div0,#Div0
decides,0,0,2,0,2,#Div0,#Div0,#Div0
concerns,0,0,2,0,2,#Div0,#Div0,#Div0
provide,0,0,11,3,14,#Div0,0.0,#Div0
boomers,0,0,1,0,1,#Div0,#Div0,#Div0
gap,0,0,0,4,4,#Div0,0.0,#Div0
Doctor,0,0,1,0,1,#Div0,#Div0,#Div0
receives,0,0,1,0,1,#Div0,#Div0,#Div0
catch,0,0,0,1,1,#Div0,0.0,#Div0
Authority,0,0,1,0,1,#Div0,#Div0,#Div0
consequences,0,0,0,1,1,#Div0,0.0,#Div0
analyzed,0,0,1,0,1,#Div0,#Div0,#Div0
spoke,0,0,1,0,1,#Div0,#Div0,#Div0
realize,0,0,6,0,6,#Div0,#Div0,#Div0
rides,0,0,1,0,1,#Div0,#Div0,#Div0
related,0,0,12,0,12,#Div0,#Div0,#Div0
won,0,0,2,0,2,#Div0,#Div0,#Div0
