source,target,label,newClusterPredictedLabel,newClusterConfidence,newClusterIsCorrect
enough,time,,False,0.0,0
drastic,change,,False,0.0,0
fellow,student,,False,0.0,0
few,contribution,,False,0.0,0
certain,event,,False,0.0,0
good,grade,,False,0.0,0
few,people,,False,0.6,0
illeterate,child,,False,0.0,0
eminent,feminist,,False,0.0,0
own,money,,False,0.0,0
Other,people,,False,0.0,0
pampered,woman,,False,0.6666666666666666,0
s,morale,,False,0.0,0
other,place,,False,0.0,0
many,place,,True,1.0,0
other,people,,False,0.0,0
many,people,,False,0.6,0
broad,knowledge,,False,0.0,0
academic,subject,,False,0.0,0
many,subject,,False,0.0,0
human,study,,False,0.0,0
normal,study,,False,0.0,0
many,thing,,False,0.0,0
s,time,,False,0.0,0
human,time,,False,0.0,0
social,prblems,,False,0.0,0
subject,make,,False,0.0,0
human,sucsessful,,False,0.0,0
studied,business administration,,True,1.0,0
little,time,,False,0.0,0
other,hand,,False,0.0,0
many,knowledge,,False,0.0,0
same,time,,False,0.0,0
main,ting,,False,0.0,0
good,family,,False,0.0,0
good,peple,,False,0.0,0
negative,way,,False,0.0,0
own,life,,False,0.0,0
s,personality,,False,0.0,0
own,idea,,False,0.0,0
specific,subject,,False,0.0,0
first,year,,False,0.0,0
generic,material,,False,0.0,0
strenght,idea,,False,0.0,0
new,post,,False,0.0,0
new,type,,False,0.0,0
summary,today student,,False,0.0,0
successful,people,,False,0.0,0
new,thing,,False,0.0,0
succesfull,people,,False,0.0,0
Japanese,car maker,,False,0.0,0
typical,challenger,,False,0.0,0
only,owner,,False,0.0,0
small,cycleshop,,False,0.0,0
great,ambition,,False,0.0,0
first,motor cycle,,False,0.0,0
electric,motor car etc,,False,0.0,0
spend,money,,False,0.0,0
same,thing,,False,0.0,0
same,way,,False,0.0,0
other,word,,False,0.0,0
new,challengings,,False,0.0,0
big,succsess,,False,0.0,0
nice,picture,,False,0.0,0
last,week,,False,0.0,0
nt,thing,,False,0.0,0
advertisement,make product,,False,0.0,0
real,product,,False,0.0,0
same,product,,False,0.0,0
advertisement,make people,,False,0.0,0
give,people,,False,0.0,0
advertisement,people,,False,0.0,0
beautiful,people,,False,0.0,0
real,look,,False,0.0,0
big,city,,False,0.0,0
public,transport,,False,0.0,0
fast,metropolitan line,,False,0.0,0
different,city zone,,False,0.0,0
short,time,,False,0.0,0
real,time,,False,0.0,0
private,transport,,False,0.0,0
central,zone,,False,0.0,0
own,car,,False,0.0,0
major,city,,False,0.0,0
little,city,,False,0.0,0
rainy,day,,False,0.0,0
Educational,program,,False,0.0,0
primary,school,,False,0.0,0
ecological,conscience,,False,0.0,0
new,generation,,False,0.0,0
ecological,awareness,,False,0.0,0
short,amount,,False,0.0,0
main,reason,,False,0.0,0
different,people,,False,0.0,0
unusual,food,,False,0.0,0
different,culture,,False,0.0,0
known,place,,False,0.0,0
typical,tourist attraction,,False,0.0,0
exact,opposite,,False,0.0,0
mental,plan,,False,0.0,0
rough,plan,,False,0.0,0
new,city,,False,0.0,0
interesting,street,,False,0.0,0
local,people,,False,0.0,0
own,country,,False,0.0,0
local,language,,False,0.0,0
many,word,,False,0.0,0
large,group,,False,0.0,0
cultural,lens,,False,0.0,0
reassuring,lens,,False,0.0,0
exotic,animal,,False,0.0,0
young,people,,False,0.0,0
different,group,,False,0.0,0
first,division,,False,0.0,0
big,group,,False,0.0,0
usefull,work,,False,0.0,0
different,reason,,False,0.0,0
own,way,,False,0.0,0
social,service,,False,0.0,0
old,people,,False,0.0,0
own,position,,False,0.0,0
past,world war,,False,0.0,0
private,people,,False,0.0,0
beatiful,time,,False,0.0,0
comfortable,place,,False,0.0,0
good,thing,,False,0.0,0
great,advantage,,False,0.0,0
interesting,information,,False,0.0,0
different,topic,,False,0.0,0
everyday,routine,,False,0.0,0
certain,topic,,False,0.0,0
different,type,,False,0.0,0
other,thing,,False,0.0,0
high,school,,False,0.0,0
different,elective,,False,0.0,0
major,subject,,False,0.0,0
different,area,,False,0.0,0
good,impression,,False,0.0,0
new,stuff,,False,0.0,0
different,fact,,False,0.0,0
make,use,,False,0.0,0
early,year,,False,0.0,0
nt,lot,,False,0.0,0
past,year,,False,0.0,0
human,body,,False,0.0,0
primay,school,,False,0.0,0
different,teacher,,False,0.0,0
few,friend,,False,0.0,0
only,friend,,False,0.0,0
extra,time,,False,0.0,0
favorite,place,,False,1.0,0
early,morning,,False,0.0,0
grade,hotel,,False,0.0,0
personal,travel,,False,0.0,0
numerous,subject,,False,0.0,0
several,advantage,,False,0.0,0
following,reason,,False,0.0,0
advanced,nowadays,,False,0.0,0
deep,knowledge,,False,0.0,0
many,employee,,False,0.6666666666666666,0
general,knowledge,,False,0.0,0
vast,knowledge,,False,0.0,0
sophisticated,programmer,,False,0.0,0
specialized,knowledge,,False,0.0,0
good,example,,False,0.0,0
academic,topic,,False,0.0,0
many,topic,,False,0.0,0
long,time friend,,False,0.0,0
various,subject,,False,0.0,0
particular,subject,,False,0.0,0
sophisticated,technology,,False,0.0,0
Many,people,,False,0.0,0
many,problem,,False,0.0,0
initelligent,people,,False,0.0,0
certain,subject,,False,0.0,0
much,concentration,,False,0.0,0
intelligent,people,,False,0.0,0
such,people,,False,0.6,0
Intelligent,people,,False,0.0,0
specialized,work,,False,0.0,0
wide,range,,False,0.0,0
socialize,people,,False,0.0,0
common,topic,,False,0.0,0
many,choice,,False,0.0,0
first,stage,,False,0.0,0
other,choice,,False,0.0,0
specific,subjecet,,False,0.0,0
several,way,,True,1.0,0
different,situation,,False,0.0,0
personal,experience,,False,0.0,0
withot,seeing,,False,0.0,0
important,tool,,False,0.0,0
many,student,,False,1.0,0
visual,medium,,False,0.0,0
